Month,KPI,Type,Unit,S40201,S40202,S40203,S40204,S40205,S40206,S40207,S40301,S40302,S40303,S40304,S40401,S40402,S40403,S40411,S40412,S40413,S40414,S40501,S40502,S40503,S40504,center,east,north,south,nc
JAN,A,Units FTP,PC,4433,2171,3927,4041,4623,4077,3198,5718,5935,5110,3377,5820,25250,4209,16042,12640,9778,4839,7121,10377,9009,8414,35279,43299,20140,34921,26470
JAN,B,Invoice Sales FTP,EUR,265020,155587,293716,270807,334183,269009,222184,350952,351046,264071,170814,399940,1578692,215238,991044,658246,467945,250978,328715,582391,449697,422376,2193871,2368213,1136885,1783180,1810510
JAN,C,Units FTP PY,PC,4645,2466,4304,5037,4846,4412,3769,6011,7020,5140,3118,5200,15392,4619,11799,11886,11226,5828,8015,10716,10253,9102,25211,40739,21289,38086,29479
JAN,D,Gross Sales Actual FTP,EUR,386657,221602,407687,380929,474067,380053,304476,608311,611744,455250,263374,710951,2816304,348808,1717121,1090590,795853,418893,521794,997537,757497,687895,3876065,4022458,1938682,2964724,2555473
JAN,E,Net Sales FTP,EUR,228200,131738,253263,230872,286493,230475,189748,308150,315993,248033,159657,375385,1464634,192117,914174,582990,431019,234614,293040,538025,417805,392844,2032138,2162798,1031834,1641715,1550790
JAN,F,Net Sales FTP PY,EUR,215073,140261,253704,261537,293989,214805,204458,299097,349635,245201,147553,300943,831133,206521,640888,525372,444207,337935,325690,498942,466180,415344,1338598,1948403,1041488,1706157,1583828
JAN,G,CMC FTP,EUR,104701,68695,137958,115184,150125,116098,96529,146760,151799,111618,68599,194066,748485,77639,461981,246020,184862,107797,103649,249434,172653,159394,1020191,1000662,478778,685132,789293
JAN,H,CMC FTP PY,EUR,96247,71309,134785,123661,155385,100013,100101,140012,163535,109518,67070,151080,419872,86999,322147,222890,166696,180791,126807,220818,197601,177005,657951,892526,480137,722233,781505
FEB,A,Units FTP,PC,4452,2266,3962,4975,5128,3633,4124,4637,7317,3899,3108,3915,14745,3148,12285,16289,7544,5889,7800,9233,8341,8810,21808,42007,18961,34184,28540
FEB,B,Invoice Sales FTP,EUR,245817,170770,293591,333707,355823,253306,289125,290929,409004,213042,174199,228330,884907,170066,758107,733471,372691,352090,367855,499903,376072,447558,1283304,2216360,1087175,1691390,1942142
FEB,C,Units FTP PY,PC,4349,2870,4406,4920,5012,4418,4109,7054,7078,6046,4026,6540,14737,4808,10402,16024,7755,5711,7982,10791,9686,8818,26085,39892,24204,37277,30084
