Month,S40201,S40202,S40203,S40204,S40205,S40206,S40207,S40301,S40302,S40303,S40304,S40401,S40402,S40403,S40411,S40412,S40413,S40414,S40501,S40502,S40503,S40504,center,east,north,south,nc
JAN,79,0,70,4,52,48,8,74,32,55,56,82,78,72,23,55,39,56,60,55,49,46,232,173,217,210,261
FEB,58,26,70,5,61,26,1,66,27,24,52,85,73,68,4,51,35,53,67,44,46,56,226,143,169,213,247
MAR,48,47,46,0,37,79,1,64,41,90,43,77,61,58,27,46,36,70,68,44,50,47,196,179,238,209,258
APR,64,98,77,0,48,49,3,61,45,0,18,51,64,70,18,56,56,77,42,47,41,50,185,207,124,180,339
MAY,79,71,64,25,69,67,5,74,76,94,65,85,78,82,4,69,45,89,92,77,76,79,245,207,309,324,380
JUN,86,103,116,54,95,84,103,59,67,75,0,84,71,91,42,60,74,65,63,54,61,62,246,241,201,240,641
JUL,95,75,95,56,110,51,101,6,19,63,1,62,41,91,146,87,51,76,93,66,65,73,194,360,89,297,583
AUG,0,40,3,5,15,29,30,0,45,1,0,61,4,10,76,8,0,3,14,36,24,37,75,87,46,111,122
SEP,60,82,79,68,90,55,125,0,48,83,18,62,93,90,88,47,17,60,59,60,58,57,245,212,149,234,559
OCT,98,101,79,72,94,93,135,10,53,93,81,92,97,93,69,63,84,83,82,131,68,87,282,299,237,368,672
NOV,60,81,75,52,62,71,111,84,56,105,99,64,75,88,109,66,63,85,84,71,55,77,227,323,344,287,512
DEC,7,30,46,51,22,87,118,70,28,51,67,52,46,28,113,61,18,32,49,55,28,73,126,224,216,205,361
